Time_solar,Temperature©,Humidity ,Ground Radiation Intensity (W/m^2),Upper Atmosphere Radiation Intensity (W/m^2),PV Generation (KW),timestamp,hour,Date - Time ,Time_wind,Air Density,Wind Speed ,Power Generation ,clearness_index_kt,wind_power_coefficient_cp,complementarity_index,total_renewable_power,renewable_capacity_factor,solar_efficiency,wind_power_per_speed,day_of_week,day_of_year,month,week_of_year,hour_sin,hour_cos,day_sin,day_cos,solar_lag_1,solar_lag_2,solar_lag_3,solar_lag_6,solar_lag_12,solar_lag_24,wind_lag_1,wind_lag_2,wind_lag_3,wind_lag_6,wind_lag_12,wind_lag_24,solar_rolling_mean_6h,solar_rolling_std_6h,wind_rolling_mean_6h,wind_rolling_std_6h,solar_rate_of_change,solar_volatility,wind_rate_of_change,wind_volatility,total_rate_of_change,total_volatility
1555,21.651,0.016,21.656,78.155,131.022,2019-08-04 18:00:00,18.0,,1555,1.147,5.275,750.776,1.0,0.593,0.8555119218286172,881.798,0.10650180628264229,1.0,142.32717681001384,6,216,8,31,-1.0,-1.8369701987210297e-16,-0.5452404385406507,-0.8382797052177745,758.319,1561.839,2240.183,2965.533,1141.214,0.0,471.717,495.078,795.553,506.194,3.353,1274.811,1773.0376666666662,1177.8354634453328,674.4396666666668,155.36134460235866,-627.297,627.297,279.05899999999997,279.05899999999997,-348.23800000000006,348.23800000000006
1556,20.384,0.015,0.175,1.599,0.0,2019-08-04 19:00:00,19.0,,1556,1.149,6.186,1210.247,0.0,0.593,0.7147641192488646,1210.247,0.14617122237536148,0.0,195.64287170338318,6,216,8,31,-0.9659258262890684,0.2588190451025203,-0.5452404385406507,-0.8382797052177745,131.022,758.319,1561.839,3154.942,1997.525,0.0,750.776,471.717,495.078,696.479,9.633,1295.23,1247.2139999999995,1141.1872506403238,760.0676666666668,269.5539192515165,-131.022,131.022,459.4710000000001,459.4710000000001,328.44900000000007,328.44900000000007
1557,19.841,0.015,0.0,0.0,0.0,2019-08-04 20:00:00,20.0,,1557,1.151,7.14,1801.278,0.0,0.593,0.5754675559554012,1801.278,0.21755476947916116,0.0,252.27979659946828,6,216,8,31,-0.8660254037844386,0.5000000000000001,-0.5452404385406507,-0.8382797052177745,0.0,131.022,758.319,2791.921,2438.232,0.0,1210.247,750.776,471.717,837.035,24.096,1137.873,781.893833333333,936.143963931506,920.7748333333335,507.2535469074154,0.0,0.0,591.031,591.031,591.031,591.031
1558,19.376,0.015,0.0,0.0,0.0,2019-08-04 21:00:00,21.0,,1558,1.151,7.844,2275.572,0.0,0.593,0.46368403835529226,2275.572,0.27483905421219473,0.0,290.1034816288269,6,216,8,31,-0.7071067811865477,0.7071067811865474,-0.5452404385406507,-0.8382797052177745,0.0,0.0,131.022,2240.183,2606.624,0.0,1801.278,1210.247,750.776,795.553,116.103,1295.394,408.5299999999995,637.2087517864379,1167.444666666667,740.439007542859,0.0,0.0,474.2940000000001,474.2940000000001,474.2940000000001,474.2940000000001
1559,19.139,0.015,0.0,0.0,0.0,2019-08-04 22:00:00,22.0,,1559,1.148,8.051,2421.029,0.0,0.593,0.4294021475458808,2421.029,0.29240706098523606,0.0,300.711551271699,6,216,8,31,-0.5000000000000004,0.8660254037844384,-0.5452404385406507,-0.8382797052177745,0.0,0.0,0.0,1561.839,2765.163,0.0,2275.572,1801.278,1210.247,495.078,289.016,1115.342,148.22349999999952,303.4446356525899,1488.4365,805.2865109250795,0.0,0.0,145.45699999999988,145.45699999999988,145.45699999999988,145.45699999999988
1560,18.961,0.014,0.0,0.0,0.0,2019-08-04 23:00:00,23.0,,1560,1.142,7.896,2312.134,0.0,0.593,0.4550669591375599,2312.134,0.27925493975662324,0.0,292.82341782884777,6,216,8,31,-0.25881904510252157,0.9659258262890681,-0.5452404385406507,-0.8382797052177745,0.0,0.0,0.0,758.319,2908.31,0.0,2421.029,2275.572,1801.278,471.717,379.701,687.762,21.836999999999545,53.48950751347796,1795.1726666666666,681.5670763127102,0.0,0.0,-108.89499999999998,108.89499999999998,-108.89499999999998,108.89499999999998
1561,18.842,0.014,0.0,0.0,0.0,2019-08-05 00:00:00,0.0,,1561,1.136,7.423,1988.89,0.0,0.593,0.53125040519239,1988.89,0.24021417319781224,0.0,267.9361083206105,0,217,8,32,0.0,1.0,-0.5595892624101763,-0.828770087174504,0.0,0.0,0.0,131.022,2965.533,0.0,2312.134,2421.029,2275.572,750.776,506.194,291.514,0.0,0.00018615273173174413,2001.5250000000003,450.3204842384916,0.0,0.0,-323.2439999999999,323.2439999999999,-323.2439999999999,323.2439999999999
1562,18.748,0.014,0.0,0.0,0.0,2019-08-05 01:00:00,1.0,,1562,1.132,7.166,1815.825,0.0,0.593,0.5720390604852312,1815.825,0.21931172716787625,0.0,253.39446645346547,0,217,8,32,0.25881904510252074,0.9659258262890683,-0.5595892624101763,-0.828770087174504,0.0,0.0,0.0,0.0,3154.942,0.0,1988.89,2312.134,2421.029,1210.247,696.479,52.403,0.0,0.00018615273173174413,2102.454666666667,268.7696127389712,0.0,0.0,-173.06500000000005,173.06500000000005,-173.06500000000005,173.06500000000005
1563,18.72,0.014,0.0,0.0,0.0,2019-08-05 02:00:00,2.0,,1563,1.129,7.033,1724.752,0.0,0.593,0.5935035114342095,1724.752,0.20831211160560567,0.0,245.23699058197204,0,217,8,32,0.49999999999999994,0.8660254037844387,-0.5595892624101763,-0.828770087174504,0.0,0.0,0.0,0.0,2791.921,0.0,1815.825,1988.89,2312.134,1801.278,837.035,27.137,0.0,0.00018615273173174413,2089.7003333333337,287.1102246208876,0.0,0.0,-91.07300000000009,91.07300000000009,-91.07300000000009,91.07300000000009
1564,18.859,0.014,0.08,0.421,0.0,2019-08-05 03:00:00,3.0,,1564,1.126,6.969,1683.847,0.0,0.593,0.6031441663601256,1683.847,0.20337168717054063,0.0,241.61956641992157,0,217,8,32,0.7071067811865476,0.7071067811865476,-0.5595892624101763,-0.828770087174504,0.0,0.0,0.0,0.0,2240.183,0.0,1724.752,1815.825,1988.89,2275.572,795.553,31.444,0.0,0.00018615273173174413,1991.0795,311.11851263254914,0.0,0.0,-40.90499999999997,40.90499999999997,-40.90499999999997,40.90499999999997
